index,time,size
0,65.13066101074219,127
2,50.842275857925415,215
3,90.31500124931335,156
4,34.72410798072815,133
5,43.906124114990234,51
6,30.854444980621334,56
8,46.37240123748779,123
9,70.17495894432068,157
11,41.13456201553345,158
14,87.44947671890259,140
15,34.46601700782776,2
16,35.09213709831238,47
17,89.09000611305237,171
18,77.95924711227417,344
19,92.44917392730711,282
20,38.20734691619873,20
21,35.093940019607544,6
22,84.56583285331726,521
23,61.402464151382446,133
24,100.86829900741576,340
25,51.045910120010376,106
26,70.77366304397583,388
28,145.76257991790771,295
29,103.38071203231812,430
30,35.599220991134644,137
31,43.206766843795776,148
32,30.642640829086304,99
33,59.03514885902405,365
35,72.416250705719,243
38,49.133270025253296,85
39,55.18014907836914,27
40,53.65754508972168,77
41,41.56058692932129,92
42,84.08425188064575,249
43,47.73679995536804,216
44,62.00582671165466,89
45,36.02505803108215,128
46,101.53019189834596,207
48,66.02275705337524,385
49,54.665201902389526,62
50,57.10457921028137,96
52,37.235032081604,23
53,83.79395580291748,410
54,67.42690992355347,358
55,42.884530782699585,112
57,39.68956208229065,188
58,25.556369304656982,59
59,56.197335958480835,147
60,62.87750601768494,190
61,69.51197719573975,228
62,36.45956778526306,38
64,82.91656303405762,114
65,22.96752381324768,59
67,26.602970838546753,67
68,40.58488607406616,191
69,28.18141794204712,4
70,65.81494784355164,359
71,21.857558012008667,46
72,97.82433199882507,126
73,37.89939999580383,12
74,25.940064907073975,60
75,36.75632095336914,95
76,60.4000608921051,48
77,71.34991002082825,107
78,66.69399189949036,205
79,43.48968291282654,153
80,108.66401934623718,582
81,20.712661027908325,1
83,32.91014218330383,117
84,54.06843614578247,149
85,87.42214608192444,232
86,67.0148651599884,138
87,38.38923192024231,138
89,30.411051988601685,90
92,52.91219091415405,269
93,30.92107605934143,30
94,23.856677055358887,73
96,89.88128805160522,89
97,70.48139905929565,119
98,36.895159006118774,78
99,68.37994074821472,332
